Step_Index,Chosen_Token_At_Step,Candidate_Token,Rank,Probability,Log_Probability,Is_Actual_Choice
1,Imagine,Imagine,1,0.7041525952616217,-0.35076019167900085,True
1,Imagine,Oh,2,0.1302551289379508,-2.0382602214813232,False
1,Imagine,Let,3,0.08024785699174188,-2.5226352214813232,False
1,Imagine,So,4,0.033979080556353354,-3.3820102214813232,False
1,Imagine,Quant,5,0.02525110854426434,-3.6788852214813232,False
1,Imagine,That,6,0.005634285236725207,-5.178884983062744,False
1,Imagine,Hey,7,0.0052108620145068915,-5.257009983062744,False
1,Imagine,Hi,8,0.002423275884152936,-6.022634983062744,False
1,Imagine,You,9,0.0022764570203741433,-6.085134983062744,False
1,Imagine,O,10,0.0022411638255542925,-6.100759983062744,False
1,Imagine,Wow,11,0.0018579900699970877,-6.288259983062744,False
1,Imagine,Hello,12,0.001691719210073563,-6.382009983062744,False
1,Imagine,Im,13,0.0016142497472003236,-6.428884983062744,False
1,Imagine,Little,14,0.000979091964110364,-6.928884983062744,False
1,Imagine,I,15,0.0007625175883480713,-7.178884983062744,False
1,Imagine,Do,16,0.00027616543769069064,-8.194510459899902,False
1,Imagine,Okay,17,0.00016234928558291604,-8.725760459899902,False
1,Imagine,Boy,18,0.00014439644370364837,-8.842947959899902,False
1,Imagine, Imagine,19,0.00010319548458453174,-9.178885459899902,False
1,Imagine, Quantum,20,9.618876838149124e-05,-9.249197959899902,False
2,Imagine,Imagine,1,0.5977694766905333,-0.5145500898361206,True
2,Imagine,Let,2,0.2199071010342589,-1.5145500898361206,False
2,Imagine,Oh,3,0.13548083472146588,-1.9989250898361206,False
2,Imagine,So,4,0.010948528568605021,-4.51455020904541,False
2,Imagine,Hey,5,0.0076433047605814364,-4.87392520904541,False
2,Imagine,Hi,6,0.005952611732794219,-5.12392520904541,False
2,Imagine,Hello,7,0.00463589867882017,-5.37392520904541,False
2,Imagine,O,8,0.004027738571467986,-5.51455020904541,False
2,Imagine,Im,9,0.00333911255616529,-5.70205020904541,False
2,Imagine,Little,10,0.0027253042409463315,-5.90517520904541,False
2,Imagine,Wow,11,0.001652980579178816,-6.40517520904541,False
2,Imagine,I,12,0.0016021237132840644,-6.43642520904541,False
2,Imagine,You,13,0.0013703690319259412,-6.59267520904541,False
2,Imagine,Once,14,0.0006575102471298658,-7.32705020904541,False
2,Imagine,Okay,15,0.0004518997435475593,-7.70205020904541,False
2,Imagine,*,16,0.00030103012684275135,-8.10830020904541,False
2,Imagine,Do,17,0.00021015289745631943,-8.46767520904541,False
2,Imagine,Boy,18,0.00018116312145551256,-8.61611270904541,False
2,Imagine, Imagine,19,0.00011515428626816999,-9.06923770904541,False
2,Imagine,That,20,9.773017342869621e-05,-9.23330020904541,False
3,Imagine,Imagine,1,0.5398047905601622,-0.616547703742981,True
3,Imagine,Let,2,0.22153543967934974,-1.507172703742981,False
3,Imagine,Oh,3,0.18948930316272716,-1.663422703742981,False
3,Imagine,So,4,0.010042566352996536,-4.600922584533691,False
3,Imagine,Hey,5,0.007121245888447641,-4.944672584533691,False
3,Imagine,Hi,6,0.006795140296762414,-4.991547584533691,False
3,Imagine,O,7,0.005996690264520599,-5.116547584533691,False
3,Imagine,Wow,8,0.004456361805452973,-5.413422584533691,False
3,Imagine,Hello,9,0.003932725490108545,-5.538422584533691,False
3,Imagine,Im,10,0.0030153252283118717,-5.804047584533691,False
3,Imagine,Little,11,0.001691444156404247,-6.382172584533691,False
3,Imagine,You,12,0.0011444883651155868,-6.772797584533691,False
3,Imagine,I,13,0.0009341041796881685,-6.975922584533691,False
3,Imagine,Do,14,0.0004999899376054486,-7.600922584533691,False
3,Imagine,Once,15,0.0004884076831755984,-7.624360084533691,False
3,Imagine,That,16,0.00044470025610899926,-7.718110084533691,False
3,Imagine,Boy,17,0.0004343987857715333,-7.741547584533691,False
3,Imagine,Quant,18,0.0002614257941962212,-8.249360084533691,False
3,Imagine,Okay,19,0.00025737276292748894,-8.264985084533691,False
3,Imagine,Are,20,0.00021006152698125436,-8.468110084533691,False
4,Let,Imagine,1,0.5773085911188477,-0.5493783354759216,False
4,Let,Let,2,0.2561791191262208,-1.3618783950805664,True
4,Let,Oh,3,0.11546897554752299,-2.1587533950805664,False
4,Let,Wow,4,0.008496266943432867,-4.768128395080566,False
